Symbol,Buy,Sell,Close,RSI,Chop,AMAT,Ichimoku_9,Ichimoku_26,EMA_gt_Kalman,Low_gt_Kalman,Doji,Dragonfly,Gravestone,MACD,MACD_Signal,MACD_Buy,MACD_Sell,MACD_below_zero
USDC/USDT,True,False,1.0009,57.5,16.13,True,1.0058,1.0109,True,True,False,False,False,0.0001,0.0,False,False,False
BTC/USDT,False,True,64298.01,40.61,56.1,False,66693.7825,70990.455,False,False,False,False,False,-2200.6209,-2692.2932,False,False,True
ETH/USDT,False,True,1741.08,42.2,50.48,False,1786.95,1964.71,False,False,False,False,False,-73.2606,-95.6589,False,False,True
SOL/USDT,False,False,73.22,49.76,51.53,True,72.075,79.27,False,False,False,False,False,-2.2354,-3.3373,False,False,True
USD1/USDT,True,False,1.0011,66.43,57.37,True,1.0002,1.0001,True,True,True,False,False,0.0003,0.0002,False,False,False
TAO/USDT,False,True,231.5,46.03,43.02,False,243.7,258.2,False,False,False,False,False,-3.6383,-6.1859,False,False,True
ZEC/USDT,False,False,470.94,48.47,51.37,True,462.6,470.06,False,False,False,False,False,-12.2246,-16.6073,False,False,True
XRP/USDT,False,True,1.1499,41.53,49.88,False,1.2071,1.2999,False,False,False,False,False,-0.0378,-0.0448,False,False,True
WLD/USDT,True,False,0.6107,62.46,49.02,True,0.5436,0.4748,True,True,False,False,False,0.0747,0.0677,False,False,False
TRX/USDT,False,False,0.3268,46.83,51.25,True,0.3318,0.3442,False,False,False,False,False,-0.0059,-0.007,False,False,True
BNB/USDT,False,True,588.03,41.28,55.63,False,626.48,651.1,False,False,False,False,False,-13.6307,-12.364,False,False,True
BICO/USDT,True,False,0.0627,90.76,12.5,True,0.0423,0.042,True,True,False,False,False,0.0034,-0.0002,False,False,False
NEAR/USDT,False,False,2.194,51.48,53.01,False,2.3598,2.166,True,False,True,False,False,0.0437,0.0582,False,False,False
AVAX/USDT,False,True,6.239,31.11,51.4,False,6.9827,8.0855,False,False,False,False,False,-0.6209,-0.6238,True,False,True
SUI/USDT,False,True,0.714,33.55,58.27,False,0.8114,1.042,False,False,True,False,False,-0.0526,-0.0568,False,False,True
ALICE/USDT,False,False,0.1651,74.51,29.14,True,0.1367,0.1352,True,False,False,False,False,0.0003,-0.0049,False,False,False
XPL/USDT,True,False,0.0945,53.85,39.17,True,0.0954,0.0917,True,True,False,False,False,0.0032,0.0002,False,False,False
TNSR/USDT,False,False,0.0309,45.4,55.16,True,0.0322,0.0389,False,False,False,False,False,-0.0018,-0.0022,False,False,True
MEGA/USDT,False,True,0.0547,39.6,51.63,False,0.0582,0.206,False,False,False,False,False,-0.0057,-0.0087,False,False,True
